episode,rewards,loss,l2_grad,max_grad
147,-102.55,10.40,0.2713,6.7273
148,-109.56,3.06,0.2465,6.4344
149,-81.69,-3.33,0.1552,3.3640
150,-199.39,-1.22,0.1755,3.6899
151,-36.61,12.42,0.2392,5.3224
152,-161.42,-17.50,0.2426,4.7736
153,-116.18,-4.99,0.2015,4.9662
154,-101.08,-5.00,0.2410,5.4519
155,-90.29,7.56,0.1488,3.1960
156,-259.28,-18.36,0.4402,9.5728
157,-116.31,-2.73,0.3042,5.3009
158,-97.75,-6.49,0.1772,2.5130
159,-202.81,0.84,0.2911,4.5120
160,-144.09,-5.73,0.1659,4.0206
161,-103.37,1.13,0.3095,7.3755
162,-72.52,-6.55,0.2813,5.4936
163,-236.89,-28.46,0.3184,3.6258
164,-37.31,13.34,0.1825,3.9276
165,-280.28,-4.02,0.3503,6.9159
166,-104.01,-11.01,0.2239,3.5371
167,-102.38,20.53,0.5107,13.9900
168,-60.73,1.48,0.1219,1.9099
169,-22.98,-3.90,0.1365,2.9566
170,-43.51,-28.11,0.3117,4.5342
171,-115.36,-13.52,0.4212,9.8038
172,-72.08,1.65,0.2779,7.3194
173,-118.23,2.02,0.5019,12.1749
174,6.50,33.70,0.2328,3.7974
175,-91.47,-6.20,0.1393,2.7117
176,-47.45,-8.91,0.2813,5.9897
177,-148.35,-15.41,0.3047,6.5529
178,-99.60,-24.94,0.1293,2.8893
179,-87.27,-8.12,0.2807,5.4339
180,1.87,-2.32,0.1794,4.3466
181,-203.97,-2.71,0.5027,8.0298
182,-46.88,-0.86,0.1357,3.1247
183,-70.16,-6.20,0.2130,4.0212
184,-112.72,0.68,0.4335,7.3692
185,-69.63,-0.02,0.2171,3.5544
186,-33.66,0.08,0.3536,8.0987
187,-115.76,-12.12,0.3176,5.9800
188,-124.59,-13.78,0.3717,8.6447
189,-126.02,0.75,0.1564,4.0937
190,-76.47,-3.32,0.1111,2.0451
191,-80.90,0.36,0.0885,1.9579
192,-74.91,-11.60,0.1652,3.3980
193,-114.26,-7.42,0.3433,7.3789
194,-43.68,-0.38,0.2292,5.1242
195,-231.47,-51.01,0.7958,15.3785
196,-103.82,-19.61,0.4152,9.1938
197,-59.20,0.20,0.1239,2.2773
198,-68.17,-0.73,0.2467,5.8419
199,-42.58,0.72,0.2955,6.1363
200,-97.48,0.48,0.1511,2.5413
201,-33.84,6.27,0.1344,2.7105
202,-74.22,2.28,0.2076,4.2907
203,-101.75,-12.75,0.2077,3.1816
204,-211.57,-20.05,0.4091,7.2451
205,-72.45,8.84,0.2111,4.6510
206,-98.95,-11.78,0.2834,4.2698
207,-138.43,-15.34,0.2677,6.5112
208,-97.55,-4.41,0.1789,3.6384
209,-106.16,-12.48,0.2728,3.9761
210,-56.29,-6.21,0.2854,5.8269
211,-55.15,25.07,0.2608,3.4074
212,-180.56,-19.45,0.4513,9.2222
213,-39.08,-14.51,0.1233,2.2222
214,-136.23,-35.58,0.4237,9.4273
215,-164.43,3.21,0.3061,4.8875
216,-203.14,26.40,0.1884,3.2760
217,-71.98,-13.10,0.2596,5.6471
218,-291.89,-53.76,0.5477,8.2118
219,-53.93,4.08,0.1890,3.3871
220,-69.58,22.29,0.1559,2.8023
221,-22.74,2.93,0.0525,0.9902
222,-303.96,12.62,0.2909,4.3075
223,-65.59,-17.21,0.2932,5.7878
224,-49.65,-8.67,0.2979,4.4255
225,39.01,2087.62,1.8014,43.0559
226,-48.72,5.71,0.3383,7.7057
227,-23.97,1.54,0.0683,1.1630
228,-88.86,7.64,0.1775,3.5977
229,-158.68,-60.73,0.4323,5.9570
230,-277.31,-91.12,0.7963,12.9038
231,-41.03,-2.60,0.0468,0.6013
232,-20.88,-8.35,0.0863,1.0587
233,-101.25,-129.36,0.5296,11.8792
234,-264.23,-69.91,0.7162,12.5657
235,-119.10,-99.56,0.8513,15.9496
236,-22.12,26.56,0.0650,1.1051
237,-195.17,-3.92,0.5603,10.0712
238,-133.83,9.50,0.3536,6.0460
239,-73.22,-17.61,0.3948,6.6803
240,-189.69,-27.12,0.5657,8.5959
241,-1.86,14.34,0.1437,2.4166
242,-71.62,22.29,0.2467,3.9302
243,-91.45,-9.08,0.4019,6.1100
244,-94.58,6.42,0.2150,3.4462
245,-119.85,-19.87,0.3003,5.5082
246,1.59,22.85,0.0943,1.7174
247,-49.83,2.78,0.2105,4.1362
248,3.54,25.58,0.1660,2.7339
249,-13.43,32.92,0.1778,3.6123
250,-74.80,-8.69,0.2231,3.4442
251,-106.21,-23.05,0.3173,5.8717
252,-47.68,-9.42,0.2181,5.1842
253,-66.91,-12.24,0.1960,4.2142
254,-263.50,-40.94,0.4388,6.7262
255,-17.71,-10.60,0.2023,3.6508
256,-221.75,-66.90,0.2358,4.2862
257,24.18,5.54,0.2205,4.7094
258,-26.28,-19.32,0.3816,7.2344
259,-36.77,-17.36,0.1899,4.0165
260,-185.42,-30.94,0.2572,2.9198
261,-101.47,-64.78,0.2758,3.9918
262,-28.31,27.11,0.2503,5.1293
263,-32.50,-9.13,0.3286,6.4967
264,-48.66,9.42,0.1601,3.1094
265,-71.63,-34.18,0.8130,16.0783
266,-87.38,0.65,0.4830,6.9783
267,-194.56,1442.89,1.2845,21.3854
268,-117.59,-30.72,0.6475,8.8595
269,-74.95,-40.64,0.2971,4.0139
270,-68.66,-5.11,0.4473,7.5771
271,-27.84,-22.38,0.2663,4.2460
272,-200.11,-7.47,0.2948,4.5844
273,-135.93,90.33,0.3787,5.5151
274,-91.41,-58.95,0.8012,12.8521
275,5.89,9.90,0.2109,4.2341
276,-2.94,-14.84,0.1307,2.0808
277,-79.74,-27.57,0.2116,3.6906
278,-20.54,-40.49,0.1376,1.6277
279,-86.11,-7.98,0.3320,6.6381
280,15.77,0.77,0.2600,5.3629
281,-30.45,34.03,0.1486,2.4341
282,-37.71,-29.12,0.3981,6.8540
283,12.11,-11.26,0.1892,2.6149
284,-68.01,-142.64,0.5725,12.8031
285,-234.26,-60.37,0.5103,8.3248
286,10.09,20.00,0.0692,0.6317
287,-99.97,-27.83,0.4566,7.2923
288,-303.29,33.74,0.2870,4.0274
289,-158.10,-36.28,0.6129,8.8815
290,-157.75,32.93,0.2969,4.2036
291,-138.82,-93.71,0.3286,3.2659
292,-118.79,91.73,0.4720,8.5878
293,-82.05,-5.87,0.2317,3.9294
294,-222.78,-4.92,0.2766,4.2410
295,-74.86,-72.46,0.4965,7.8258
296,-156.08,43.38,0.2495,2.9188
297,-162.56,14.44,0.4772,6.2093
298,16.22,11.31,0.0761,0.7887
299,-290.60,-7.10,0.2555,3.0634
300,-64.85,24.97,0.3077,5.6755
301,34.03,52.23,0.1914,2.7618
302,-133.85,17.00,0.4557,6.3422
303,-75.30,-84.83,0.3206,5.6353
304,17.18,31.21,0.3025,4.2459
305,5.60,-23.97,0.2210,3.3485
306,-171.96,-66.35,0.4340,6.4987
307,-224.40,327.47,0.5392,10.1131
308,18.27,1389.72,0.8799,10.8364
309,-61.08,-27.06,0.1200,1.8315
310,-31.76,2.20,0.1283,1.6473
311,-124.16,-37.47,0.3945,6.1995
312,-10.15,-98.12,0.3421,6.2732
313,-130.66,-79.93,0.6708,11.0134
314,1.15,-115.88,0.6378,8.5407
315,-120.46,-176.66,0.3564,6.7724
316,-32.77,-66.25,0.3520,5.0782
317,10.79,21.37,0.1381,2.1200
318,5.54,-6.88,0.1807,2.1981
319,-86.37,-27.12,0.4237,6.9286
320,-17.70,9.88,0.1307,1.9714
321,-156.11,-17.88,0.5381,7.8097
322,-24.79,-4.98,0.5058,8.1480
323,-243.88,30.93,0.6736,11.1812
324,-114.94,21.36,0.4081,6.5287
325,-44.92,44.43,0.2956,5.0413
326,-65.54,4.76,0.3851,4.6238
327,-61.30,1596.83,1.3270,17.4739
328,-5.16,1305.62,1.4191,24.1724
329,-88.90,21.03,0.7582,10.3175
330,33.27,35.92,0.2340,3.3136
331,-13.79,12.71,0.3293,5.1208
332,-26.69,-12.19,0.3371,4.2956
333,-79.34,1109.90,1.9039,33.6350
334,-196.45,34.80,0.3283,5.2064
335,-53.97,-57.67,0.2485,2.9540
336,34.00,-6.22,0.1224,1.6742
337,-6.07,762.43,0.6169,9.9654
338,-26.11,-110.40,0.3903,7.3550
339,-79.32,-207.05,0.9642,15.9047
340,-142.78,3.62,0.7215,12.0034
341,28.04,949.48,0.5819,9.7290
342,11.85,-35.16,0.1812,2.5172
343,7.22,1058.88,1.1665,24.1976
344,11.49,-36.57,0.4192,5.9186
345,-114.49,-18.54,0.2965,5.1155
346,-2.16,-103.86,0.2881,3.5271
347,-11.28,-41.74,0.0879,1.2246
348,-117.74,-71.27,0.5396,8.7349
349,-305.27,-126.39,0.7227,8.8196
350,1.27,-96.08,0.4314,5.7223
351,16.70,-31.57,0.5073,9.1186
352,-182.77,322.76,1.1835,23.9106
353,47.19,-42.42,0.1949,3.3539
354,-60.42,-40.02,0.3958,5.8248
355,4.88,-51.52,0.3555,5.9209
356,-84.18,-76.54,0.3112,4.5298
357,-24.08,-27.60,0.1733,2.2370
358,-56.86,-41.11,0.3994,7.2182
359,-176.88,107.79,0.5643,8.5941
360,-54.63,-24.39,0.5219,8.2246
361,-115.22,829.12,1.1367,17.5655
362,3.79,-3.28,0.1473,1.7835
363,-172.72,48.11,0.5627,8.6082
364,10.17,-21.75,0.3025,4.2979
365,-7.83,966.61,0.8307,12.4761
366,26.38,-18.81,0.2530,4.1824
367,-24.06,-49.50,0.6042,8.0694
368,-94.95,-63.47,0.2882,4.1228
369,-75.67,-39.88,0.3412,5.3193
370,-9.54,-84.36,0.7519,10.1997
371,-38.54,-43.26,0.2074,2.4525
