episode,loss,rewards
266,-6.86,-145.24
267,-6.51,-115.71
268,-12.60,-220.65
269,-10.92,-197.97
270,-5.99,-90.12
271,-4.66,-92.42
272,-10.48,-111.66
273,-15.59,-190.16
274,-10.90,-253.91
275,-7.38,-118.32
276,-9.99,-135.06
277,-11.66,-213.97
278,-8.89,-166.32
279,-7.66,-120.95
280,-12.02,-214.67
281,-11.52,-174.29
282,-7.64,-113.28
283,-13.58,-232.99
284,-10.11,-141.27
285,-14.46,-254.60
286,-16.12,-265.55
287,0.83,-11.69
288,-13.13,-231.79
289,-16.08,-245.01
290,-7.04,-133.06
291,-23.10,-339.24
292,-22.88,-333.24
293,-9.48,-144.72
294,-6.45,-106.35
295,-5.35,-90.88
296,-9.02,-179.31
297,-6.38,-116.90
298,-20.03,-309.09
299,-9.81,-133.25
300,-9.62,-151.80
301,-8.10,-132.08
302,-8.37,-131.86
303,-14.47,-189.63
304,-5.89,-117.14
305,-6.01,-99.06
306,-8.63,-130.51
307,-22.41,-336.43
308,-11.00,-135.83
309,-14.67,-171.98
310,-4.97,-62.36
311,-10.24,-133.51
312,-8.85,-122.50
313,-18.08,-299.54
314,-4.95,-86.82
315,-10.08,-126.09
316,-4.90,-96.75
317,-9.72,-152.41
318,-7.45,-136.34
319,-5.86,-95.74
320,-8.35,-177.09
321,-6.21,-113.25
322,-9.99,-174.32
323,-5.74,-95.20
324,-10.42,-212.09
325,-5.40,-97.95
326,-17.79,-280.77
327,-7.12,-138.67
328,-15.41,-209.40
329,-5.53,-95.76
330,-3.43,-60.31
331,-23.65,-340.68
332,-6.08,-114.52
333,2.86,42.57
334,-12.78,-196.09
335,-15.53,-245.28
336,-9.99,-179.60
337,-17.54,-237.91
338,-9.85,-167.09
339,-4.22,-85.25
340,-11.24,-147.46
341,-11.89,-211.37
342,-12.67,-220.51
343,-5.93,-103.24
344,-22.57,-303.06
345,-7.29,-116.84
346,-6.91,-123.92
347,-6.23,-120.52
348,3.40,31.86
349,-13.91,-244.02
350,-4.62,-78.64
351,-6.85,-115.53
352,-7.95,-114.60
353,-5.94,-103.28
354,-8.14,-112.92
355,-9.05,-126.44
356,-4.56,-73.20
357,-5.27,-103.71
358,-12.16,-198.15
359,-7.30,-127.35
360,-13.08,-251.96
361,-5.44,-109.84
362,-22.25,-288.22
363,3.15,34.41
364,-10.53,-211.41
365,-8.92,-166.89
366,-11.72,-198.64
367,-21.09,-329.01
368,-4.64,-82.90
369,-17.07,-194.12
370,-8.20,-129.13
371,-14.19,-251.67
372,-3.76,-98.09
373,-8.93,-132.77
374,-4.68,-99.47
375,-4.62,-69.24
376,-7.78,-109.08
377,-9.20,-154.80
378,1.70,-11.77
379,-5.39,-99.46
380,-8.44,-130.97
381,-6.90,-114.85
382,-7.87,-105.59
383,-6.58,-124.81
384,-6.33,-125.07
385,-5.55,-118.54
386,-11.08,-198.85
387,-8.37,-123.77
388,-5.84,-108.09
389,-6.10,-107.89
390,-6.41,-111.18
391,-4.74,-106.58
392,-14.25,-212.88
393,-5.18,-107.08
394,2.45,18.15
395,-8.03,-157.68
396,-6.37,-127.23
397,-4.89,-98.65
398,-5.44,-113.66
399,-6.14,-123.38
400,-6.52,-132.44
401,-11.29,-187.71
402,-10.85,-183.97
403,-6.02,-95.55
404,-6.09,-121.53
405,-3.89,-94.06
406,-1.83,-51.71
407,-6.27,-107.64
408,-12.94,-208.89
409,-5.51,-106.43
410,-6.81,-126.81
411,-9.34,-171.25
412,-4.84,-98.47
413,-5.86,-134.44
414,-5.82,-185.20
415,-8.99,-161.57
416,-4.96,-100.44
417,-6.06,-130.26
418,-7.49,-144.20
419,-5.42,-124.38
420,-6.32,-119.88
421,-8.93,-145.44
422,-12.05,-154.57
423,-7.37,-143.09
424,-3.54,-92.25
425,-5.29,-114.31
426,-10.94,-156.09
427,-6.13,-114.34
428,-6.30,-110.46
429,-2.74,-83.64
430,-14.13,-199.96
431,-7.53,-108.20
432,-15.05,-257.95
433,-9.62,-129.55
434,-9.28,-144.61
435,-7.90,-105.49
436,0.77,-2.76
437,-5.48,-106.17
438,-15.41,-254.50
439,-6.51,-107.08
440,-6.36,-124.16
441,-19.05,-278.58
442,-6.39,-118.78
443,-6.88,-101.52
444,-11.22,-184.16
445,-12.74,-180.48
446,-5.80,-90.13
447,-4.62,-85.39
448,-9.02,-161.75
449,-4.37,-86.05
450,-9.49,-135.41
451,-6.44,-119.02
452,-11.73,-160.17
453,-6.98,-135.53
454,-8.94,-161.68
455,-7.22,-112.71
456,-6.57,-121.32
457,-7.49,-78.87
458,-6.64,-122.70
459,-2.85,-59.18
460,-3.89,-98.36
461,-4.94,-88.54
462,-7.86,-98.42
463,-4.80,-78.33
464,-8.35,-112.73
465,-7.19,-115.16
466,-7.78,-110.00
467,-12.19,-165.79
468,-12.36,-175.17
469,-6.53,-111.07
470,-5.27,-102.55
471,-9.32,-113.96
472,-7.31,-109.40
473,-6.55,-118.91
474,-8.81,-150.35
475,-6.56,-151.74
476,-6.97,-114.19
477,-13.07,-180.10
478,-8.20,-141.19
479,-19.17,-232.30
480,-7.09,-119.12
481,-4.37,-69.54
482,-5.18,-101.10
483,-7.02,-120.09
484,-8.12,-162.57
485,-9.50,-130.51
486,-4.52,-162.22
487,2.08,30.15
488,-4.08,-105.19
489,-6.69,-124.98
490,-6.41,-129.41
491,-2.78,-54.00
492,-6.57,-133.19
493,-6.27,-89.65
494,-9.09,-119.74
495,-7.79,-134.59
496,-6.42,-93.93
497,-7.63,-228.49
498,-10.89,-132.34
499,-8.23,-114.07
500,-8.95,-136.56
501,-7.63,-145.38
502,-7.63,-133.10
503,-11.42,-209.90
504,-2.95,-80.72
505,-8.32,-116.64
506,-7.78,-126.23
507,-6.14,-142.88
508,-5.65,-119.18
509,-7.14,-118.09
510,-4.90,-118.27
511,-7.04,-117.57
512,-6.04,-93.06
513,-5.62,-105.88
514,-5.89,-124.58
515,-7.84,-94.44
516,-10.72,-154.08
517,-7.33,-133.38
518,-8.07,-107.94
519,-6.08,-97.80
520,-7.73,-102.73
521,-7.50,-130.35
522,-5.11,-108.66
523,-6.49,-118.88
524,-4.38,-85.75
525,-4.34,-73.15
526,-10.11,-161.09
527,-2.67,-39.31
528,-6.16,-111.67
529,-5.82,-120.76
530,-10.40,-135.60
531,-6.70,-92.39
532,-8.00,-123.24
533,-7.24,-79.41
534,-5.73,-129.34
535,-6.08,-86.02
536,-8.43,-113.57
537,-8.19,-116.50
538,-7.92,-116.63
539,-7.35,-110.62
540,-5.72,-61.10
541,-7.41,-130.94
542,-6.83,-116.44
543,-10.64,-211.70
544,-5.27,-98.50
545,-6.22,-128.25
546,-7.01,-142.73
547,-13.07,-201.75
548,-8.18,-142.14
549,-14.96,-228.05
550,-6.75,-159.14
551,-10.12,-189.45
552,-6.04,-100.37
553,-9.15,-124.94
554,-14.08,-197.51
555,-5.10,-123.15
556,-9.21,-111.14
557,-3.68,-86.91
558,-4.57,-79.22
559,-9.46,-125.05
560,-7.00,-114.81
561,-11.58,-211.87
562,-7.30,-123.74
563,-6.67,-94.22
564,-7.20,-112.82
565,-4.59,-73.66
566,-8.67,-160.23
567,-8.70,-138.29
568,-4.28,-106.42
569,-8.51,-107.54
570,-0.17,-21.97
571,-7.06,-139.90
572,-8.15,-123.48
573,-9.44,-201.02
574,-5.46,-92.23
575,-5.82,-88.17
576,-6.92,-89.88
577,-9.94,-148.57
578,-3.88,-59.56
579,-9.80,-134.74
580,-6.31,-92.01
581,-7.19,-109.63
582,-5.44,-82.73
583,-10.21,-137.19
584,-14.01,-203.26
585,1.03,11.95
586,-6.67,-83.00
587,-9.22,-251.58
588,-16.71,-214.46
589,-12.94,-196.61
590,-15.68,-252.83
591,-5.24,-87.48
592,2.53,26.02
593,-5.16,-66.43
594,-7.15,-92.13
595,-5.95,-74.73
596,-9.05,-123.77
597,-3.39,-55.30
598,-10.56,-112.41
599,-8.15,-105.95
600,-4.83,-81.42
601,-12.45,-201.07
