episode,loss,rewards,adv
180,-1.05,-139.40,2.7693
181,-0.40,-138.90,-17.4441
182,0.56,-86.93,24.7612
183,-1.83,-162.48,-25.6719
184,7.01,-93.25,7.8540
185,-5.83,-214.75,-35.9099
186,2.16,-91.55,20.1827
187,11.78,42.94,81.8747
188,-0.17,-116.18,0.6132
189,3.96,-86.18,12.3627
190,0.89,-95.96,12.3680
191,0.69,-104.83,10.0558
192,-0.77,-103.32,15.7891
193,0.25,-98.82,9.8659
194,-4.51,-172.44,-26.9577
195,3.01,-54.65,34.0072
196,-1.27,-119.19,-2.5389
197,0.95,-101.23,7.0931
198,1.21,-90.49,12.4022
199,-5.30,-187.98,-36.8226
200,-1.18,-107.58,6.9243
201,-13.62,-289.17,-73.7547
202,0.74,-107.13,6.5588
203,5.43,-59.50,14.5937
204,11.64,-1.35,32.2426
205,-2.30,-135.76,-11.5073
206,0.09,-84.51,21.7605
207,-0.96,-118.11,0.9189
208,1.20,-66.66,36.6405
209,1.39,-93.87,9.6064
210,-4.02,-181.87,-45.0122
211,0.19,-99.48,7.4764
212,1.08,-79.37,21.0980
213,8.79,-11.97,34.0368
214,-0.19,-85.63,21.4071
215,-0.39,-117.55,-4.6157
216,0.26,-115.45,4.0737
217,-0.22,-84.32,27.0322
218,-1.18,-121.52,-3.8242
219,-0.41,-105.42,0.6906
220,-0.92,-111.95,4.8619
221,-2.85,-175.04,-49.9934
222,-0.04,-112.39,2.6180
223,-5.47,-179.97,-24.8300
224,8.59,-35.99,27.3921
225,-1.17,-110.75,5.2762
226,0.94,-93.33,4.0223
227,1.27,-74.53,23.6789
228,2.38,-81.72,6.3380
229,0.28,-110.87,2.1405
230,-1.72,-134.20,-8.0833
231,-0.24,-101.13,8.9600
232,-1.86,-133.36,-3.2577
233,3.60,-33.34,47.7493
234,-2.33,-118.06,6.6362
235,-0.96,-134.60,-19.8056
236,0.01,-112.42,-8.6051
237,-3.12,-156.77,-12.4212
238,0.23,-113.77,2.4221
239,-2.26,-167.63,-20.2958
240,-0.77,-142.12,-24.2362
241,2.27,-76.80,14.9998
242,1.23,-86.34,19.4971
243,-0.05,-104.38,1.7322
244,1.21,-94.73,0.8021
245,1.23,-77.17,25.7345
246,-1.23,-137.50,-15.5375
247,0.11,-103.62,-0.6731
248,-10.37,-257.48,-71.3044
249,-1.00,-146.24,-33.8295
250,-0.37,-103.27,7.7311
251,0.48,-132.07,0.4378
252,-0.84,-116.90,-1.7162
253,-11.10,-253.49,-41.5306
254,-17.17,-316.27,-71.3156
255,2.83,-79.27,16.4023
256,0.02,-94.98,14.1972
257,0.27,-116.90,-2.2662
258,2.30,-63.89,29.2855
259,-0.17,-146.80,-14.4255
260,-5.08,-195.03,-30.0447
261,1.25,-101.52,7.8210
262,1.88,-74.53,25.1473
263,-1.85,-164.35,-24.8919
264,-0.84,-107.49,14.0398
265,-0.28,-98.65,17.8698
266,-1.05,-106.69,16.0918
267,1.27,-72.55,42.3938
268,-1.67,-119.31,12.3562
269,0.45,-104.51,8.9573
270,1.11,-128.62,12.4204
271,-1.45,-180.85,-51.8819
272,-1.21,-127.40,2.8820
273,-6.95,-245.31,-73.6815
274,-2.40,-149.33,-3.8296
275,-1.83,-130.41,1.9568
276,-2.04,-188.30,-45.9092
277,1.66,-74.18,34.0873
278,0.33,-94.95,37.3767
279,1.00,-101.51,14.0057
280,-10.81,-252.79,-28.1908
281,-4.25,-191.95,-5.9260
282,2.39,-81.79,19.7946
283,1.30,-117.37,4.0710
284,2.72,-55.92,49.6055
285,1.22,-87.52,33.8405
286,-2.26,-132.03,7.9675
287,-1.63,-175.99,-11.8423
288,1.68,-72.48,36.2311
289,1.18,-85.95,30.4260
290,3.24,-45.49,58.2506
291,-4.86,-182.97,-9.7671
292,1.45,-89.22,26.2505
293,6.30,-73.66,22.0586
294,4.77,-52.27,39.3368
295,2.15,-94.27,14.6755
296,5.19,-60.00,32.1239
297,0.45,-121.15,2.0825
298,3.65,-61.96,27.5743
299,-4.54,-214.97,-40.1392
300,-0.11,-130.16,-2.1685
301,3.46,-89.79,-3.8872
302,3.12,-78.71,13.1839
303,-6.61,-212.85,-42.7990
304,-16.41,-336.16,-66.3535
305,0.08,-99.39,19.1651
306,1.07,-111.84,2.5874
307,3.42,-74.02,21.3304
308,1.10,-97.53,14.8978
309,-1.43,-115.06,17.7984
310,0.94,-98.83,12.0197
311,-9.66,-261.97,-52.2255
312,6.16,-59.26,28.8887
313,-8.20,-231.17,-40.3248
314,-7.99,-225.10,-25.6513
315,2.94,-48.94,46.9214
316,5.73,-69.31,9.8871
317,-2.36,-153.20,-13.0876
318,0.76,-132.22,-25.9863
319,-0.18,-116.67,7.5671
320,2.52,-96.16,14.1498
321,0.69,-90.88,27.7709
322,0.57,-111.28,12.5815
323,-0.44,-161.84,-36.1697
324,0.37,-124.01,-7.9666
325,-0.80,-126.80,-0.5613
326,2.34,-87.20,24.7283
327,-3.05,-166.62,-14.5327
328,2.70,-80.82,23.4794
