episode,rewards,loss,l2_grad,max_grad
147,-98.26,-0.91,0.3180,9.7572
148,-78.05,-0.32,0.1607,5.1947
149,-399.78,1.18,0.3879,11.7000
150,-279.88,-0.96,0.1572,3.3196
151,-74.89,-0.70,0.2125,5.9500
152,-112.43,-1.57,0.2371,8.1362
153,-163.87,-0.05,0.2006,5.8494
154,-271.08,1.22,0.3135,7.7786
155,-152.32,-0.29,0.2392,7.8911
156,-95.52,0.07,0.1792,4.6719
157,-128.87,-0.02,0.2067,6.6523
158,-411.06,-0.33,0.2654,6.2741
159,-335.16,-1.75,0.2839,6.6602
160,-80.94,-0.25,0.2527,8.8137
161,-85.17,-0.32,0.2360,7.7961
162,-246.68,-0.32,0.2732,9.4572
163,-152.34,-1.25,0.3896,10.5066
164,-50.82,-0.78,0.1297,2.9030
165,-126.78,-1.22,0.2444,7.4512
166,-189.25,-1.21,0.2425,8.0329
167,-358.23,-0.03,0.2136,5.9504
168,-274.47,-0.21,0.1980,4.4136
169,-310.17,0.45,0.1803,4.7202
170,-92.83,-0.90,0.2040,7.0100
171,-279.17,-1.58,0.2279,5.7860
172,-118.93,-0.26,0.1897,3.5946
173,-456.71,-0.40,0.2739,6.3943
174,-123.52,-1.39,0.2835,9.2591
175,-131.16,-0.89,0.1192,1.4513
176,-135.73,-1.11,0.2776,9.3735
177,-93.77,-0.69,0.2178,6.8749
178,-126.69,0.70,0.1742,5.0561
179,-156.95,-2.26,0.2705,8.1701
180,-312.95,-0.22,0.2956,6.0182
181,-252.03,-0.91,0.4331,10.7875
182,-111.92,-1.77,0.3474,11.5642
183,-199.78,-1.34,0.3811,12.2739
184,-183.25,-1.28,0.3291,10.2791
185,-110.51,-1.38,0.2253,8.0278
186,-131.72,-0.50,0.2637,7.7990
187,-42.82,-1.51,0.2834,8.7652
188,-75.07,-0.71,0.1950,6.6883
189,-109.12,-1.09,0.3143,10.6902
190,-85.57,-0.98,0.2318,7.1710
191,-330.74,-1.10,0.2921,9.2170
192,-117.54,-0.70,0.2184,7.2429
193,-90.07,-1.29,0.3461,11.6814
194,-374.78,0.58,0.2965,8.1412
195,-447.97,-0.32,0.2332,4.2831
196,-145.38,-1.21,0.3130,6.9576
197,-103.70,-1.41,0.2751,8.4817
198,-148.89,-1.05,0.2628,7.2955
199,-293.44,-0.62,0.2289,4.9416
200,-506.39,-0.82,0.1449,2.9579
201,-492.90,-0.53,0.3911,7.5384
202,-123.72,0.15,0.1359,3.4905
203,-247.01,0.66,0.2886,8.5322
204,-176.99,-1.73,0.2680,9.0285
205,-76.17,-1.60,0.3134,9.7314
206,-138.25,-1.47,0.2960,10.0453
207,-205.64,-2.36,0.3411,11.9554
208,-275.25,-0.05,0.3502,9.9812
209,-92.07,-1.32,0.2165,6.2388
210,-260.10,-1.27,0.2985,8.6438
211,-239.22,0.01,0.1879,4.8581
212,-101.83,-2.16,0.2063,7.6053
213,-105.37,-1.30,0.2340,8.0095
214,-45.95,-2.38,0.3380,11.3806
215,-187.13,-1.65,0.1646,3.8639
216,-57.10,-1.45,0.3461,10.9422
217,-237.43,0.18,0.2752,8.4968
218,-329.58,-0.50,0.2360,5.1274
219,-80.91,-1.56,0.1325,3.8510
220,-241.86,-0.26,0.2775,6.5896
221,-127.67,-1.45,0.2222,7.7477
222,-139.49,-1.94,0.2570,6.6802
223,-128.88,-2.42,0.2763,9.6850
224,-87.18,-2.60,0.3031,10.0589
225,-366.71,-1.24,0.2727,8.3734
226,-227.98,-1.01,0.2915,7.2209
227,-244.04,-1.76,0.3972,10.5206
228,-149.28,-1.67,0.2668,10.3990
229,-221.84,-1.93,0.3309,10.0079
230,-141.41,-1.57,0.2905,9.0371
231,-121.35,-1.53,0.2243,7.5512
232,-123.26,-1.89,0.2803,7.7713
233,-424.64,-0.75,0.3031,5.7255
234,-173.32,-2.32,0.2666,6.8230
235,-55.90,-1.82,0.2718,8.6077
236,-187.06,-0.77,0.2355,6.6642
237,-247.77,-0.21,0.2852,8.0244
238,-182.32,-1.52,0.3356,10.3351
239,-111.47,-0.41,0.1499,2.3214
240,-274.85,0.45,0.2099,4.6295
241,-98.04,-2.83,0.3314,11.2432
242,-372.22,2.01,0.4367,13.8846
243,41.69,-0.64,0.2256,7.5071
244,-75.91,-2.48,0.2153,7.2813
245,-137.98,-2.56,0.2784,7.5612
246,-37.27,-0.72,0.1288,1.6597
247,-117.18,-2.20,0.3363,11.5980
248,-78.52,-1.12,0.1238,2.7582
249,-61.18,-1.31,0.0915,1.0711
250,-236.84,-0.83,0.2297,5.2597
251,-231.95,-3.13,0.3986,10.7533
252,-338.96,-0.27,0.2566,5.3130
253,-350.68,-0.66,0.2329,6.5930
254,-66.44,-1.62,0.2640,8.3509
255,-239.47,-2.98,0.3240,9.9254
256,-261.26,-2.01,0.1971,4.9115
257,-350.78,-0.84,0.2763,8.1872
258,-333.05,-1.04,0.2391,5.3486
259,-189.57,-1.20,0.1089,1.7650
260,-306.67,-2.41,0.2957,8.3789
261,-115.52,-0.89,0.2909,8.6877
262,-187.78,-2.48,0.3933,10.2109
263,-84.92,-2.31,0.2463,8.3670
264,-112.60,0.40,0.2145,5.5114
265,-341.62,-1.27,0.2718,4.8810
266,-115.94,-2.05,0.1766,5.1608
267,-82.00,-2.78,0.2525,8.6090
268,-72.69,-1.69,0.1358,1.9094
269,-37.91,-2.21,0.2640,9.8576
270,-350.88,-0.38,0.2317,6.8746
271,-304.02,-1.34,0.2922,7.3823
272,-118.84,0.98,0.2342,5.9831
273,-76.00,-1.47,0.1364,1.5565
274,-155.25,-2.54,0.2913,9.6355
275,-232.59,-0.61,0.2964,8.0414
276,-146.73,-0.60,0.1932,5.0252
277,-349.03,-2.33,0.2455,6.9650
278,-140.85,-1.04,0.1858,4.6788
279,-332.87,-0.53,0.3722,12.1679
280,-100.33,-1.62,0.1122,1.2544
281,-104.06,-3.87,0.3590,10.9901
282,-314.72,-0.51,0.2218,5.9895
283,-333.17,0.90,0.3273,10.0972
284,-177.17,-0.90,0.2433,4.0739
285,-81.26,-1.64,0.2103,6.7242
286,-122.16,-2.54,0.2378,6.0471
287,-249.54,-2.27,0.3110,9.5070
288,-170.54,-1.20,0.2134,6.4424
289,-87.49,-1.22,0.1272,3.8698
290,-216.24,-3.22,0.3380,11.1005
291,-51.98,-2.21,0.2971,8.9821
292,-135.17,-4.09,0.3878,13.1003
293,-287.21,1.14,0.3533,11.0804
294,-133.60,-1.02,0.2386,7.9419
295,-106.93,-3.58,0.3251,9.9493
296,-106.37,-2.53,0.2665,8.1983
297,-175.65,-2.11,0.2919,9.0582
298,-134.10,-2.99,0.3257,11.8480
299,-355.89,1.16,0.3336,8.3576
300,-325.56,-2.32,0.2788,8.6278
301,-119.58,-3.11,0.3087,9.7643
302,-169.51,-2.14,0.1956,5.6782
