episode,rewards,loss,l2_grad,max_grad
145,1.89,61.37,0.1409,5.6826
146,-320.69,-259.86,0.3136,12.6715
147,-124.88,-58.75,0.0423,1.3692
148,-267.98,-200.81,0.4903,18.8808
149,-115.51,-58.26,0.0639,2.6005
150,-116.71,-76.35,0.1727,6.4618
151,-274.31,-185.13,0.3033,9.5766
152,-71.31,-39.44,0.0455,1.7183
153,-66.75,3.11,0.0345,1.1018
154,-134.57,-49.05,0.0685,3.0652
155,-228.35,-141.67,0.1997,9.0885
156,-78.92,-39.89,0.0617,2.7592
157,-467.51,-326.75,0.7637,33.9831
158,-96.29,-34.3,0.0102,0.2079
159,-171.08,-71.14,0.1191,4.8291
160,-180.87,-127.73,0.1715,7.1953
161,-262.19,-173.62,0.5448,21.7921
162,-136.86,-80.44,0.1113,4.2269
163,-87.66,-29.75,0.0398,1.4707
164,-101.81,-32.98,0.0341,1.2408
165,-188.55,-109.77,0.133,4.9225
166,-118.86,-45.22,0.0761,2.7943
167,-108.31,-12.78,0.0774,3.5735
168,-137.2,-51.79,0.0505,2.2136
169,-287.26,-159.42,0.3405,15.1756
170,-31.01,69.61,0.1461,4.9653
171,-392.71,-253.08,0.4883,19.0209
172,-117.33,-33.33,0.038,1.4696
173,-365.69,-249.94,0.7035,23.8772
174,-85.4,10.15,0.0566,1.8119
175,-159.56,-79.25,0.2197,9.2035
176,-234.8,-136.71,0.2262,8.2712
177,-83.61,-19.03,0.0124,0.3263
178,-115.91,-22.56,0.032,1.4104
179,-179.27,-86.72,0.0998,3.9316
180,-107.14,-26.03,0.0339,1.4054
181,-137.19,-44.65,0.0279,1.1165
182,-127.55,-39.25,0.0462,1.6905
183,-202.18,-99.14,0.1598,6.4182
184,-134.15,-49.21,0.103,4.0224
185,-90.32,2.98,0.05,2.1201
186,-175.47,-75.34,0.0713,2.9557
187,-63.81,18.95,0.034,1.4125
188,-219.8,-109.72,0.1582,5.7284
189,-266.84,-138.18,0.3006,8.5744
190,-102.86,-2.07,0.0184,0.7039
191,-115.55,-6.74,0.0235,1.0615
192,-111.53,3.23,0.0714,2.6232
193,-124.12,-14.6,0.0173,0.647
194,-115.16,2.26,0.0368,1.332
195,-95.38,-8.63,0.017,0.752
196,-113.7,-19.24,0.0264,0.8638
197,-78.82,22.24,0.0328,1.2342
198,-106.84,8.27,0.0474,1.9184
199,-128.94,-42.95,0.1395,5.481
200,-198.81,-80.06,0.0612,1.8752
201,-70.89,33.4,0.039,1.4666
202,-245.39,-93.22,0.1045,4.6435
203,-283.28,-170.54,0.218,8.1138
204,-130.37,-29.08,0.0256,1.1024
205,-120.08,-16.38,0.0195,0.6661
206,-194.01,-67.45,0.1295,4.2472
207,-6.37,117.26,0.0879,3.4064
208,-119.04,-8.66,0.0139,0.5558
209,-101.8,26.96,0.027,0.7298
210,-167,-41.86,0.0485,1.6223
211,-74.85,18.3,0.0261,1.0373
212,-310.85,-162.3,0.2771,9.3842
213,-101.14,1.08,0.0235,0.9933
214,-130.74,-2.39,0.0298,1.2611
215,-134.64,-22.51,0.0373,1.6209
216,-107.03,-6.72,0.0175,0.6178
217,-120.02,6.82,0.0375,1.638
218,-106.91,3.85,0.0295,1.2292
219,-306.59,-145.28,0.1634,6.5292
220,-158.32,-49.2,0.0816,3.5597
221,-217.86,-73.98,0.173,6.7136
222,-269.15,-101.3,0.1247,5.2077
223,-113.12,-4.21,0.0077,0.3548
224,-286.73,-128.05,0.1033,3.5088
225,-140.33,-20.68,0.0434,1.9674
226,-95.55,9.26,0.0104,0.3013
227,-216,-98.66,0.1094,4.2657
228,-105.79,14.62,0.0256,1.0893
229,-82.66,43.52,0.0501,1.7428
230,-104.01,22.52,0.034,1.4021
231,-48.95,92.49,0.1143,3.8992
232,-83.37,50.62,0.0442,1.6533
233,-125.59,-8.71,0.0439,1.7258
234,-233.69,-89.79,0.1272,4.069
235,-113.36,5.64,0.0129,0.5079
236,-120.89,18.88,0.038,1.3792
237,-182.23,-46.45,0.0929,2.7261
238,-62.56,93.91,0.1432,4.3509
239,-91.69,30.76,0.0308,1.0725
240,-418.02,-232.77,0.5394,22.3058
241,-322.04,-146.26,0.2466,9.239
242,-157.66,-25.79,0.026,0.6393
243,-104.32,21.36,0.0173,0.5607
244,-122.25,6.2,0.014,0.5728
245,-172.2,-14.35,0.0655,2.0557
246,-107.67,23.07,0.013,0.4039
247,-114.52,12.72,0.0297,0.8957
248,-178.25,-48.74,0.0978,4.0084
249,-94.73,31.42,0.0355,1.4681
250,-103.73,20.31,0.0288,1.2192
251,-113.15,21.67,0.0311,1.1926
252,-235.86,-64.64,0.1229,4.9849
253,-101.32,32.98,0.0223,0.8382
254,-97.36,36.07,0.0366,1.4759
255,-111.77,22.1,0.015,0.5031
256,-89.5,30.32,0.0282,1.098
257,-57.41,65.63,0.147,4.8834
258,-150.89,-10.35,0.0191,0.6871
259,-290.82,-166.82,0.3133,10.3073
260,-83.78,42.29,0.0281,0.7429
261,-128,2,0.012,0.4385
262,-63.86,69.97,0.086,3.1519
263,-84.32,42.66,0.0847,3.0922
264,-135.35,3,0.0314,1.1999
265,-102.64,33.22,0.0499,1.5314
266,-80.61,58.42,0.0855,3.1929
267,-85.04,34.77,0.0574,2.1634
268,-139.64,-2.04,0.0352,1.2102
269,-140.66,-0.08,0.0216,0.816
270,-106.02,23.82,0.0458,1.1395
271,-242.41,-79.17,0.1252,4.6201
272,-119.49,27.56,0.0512,1.9727
273,-100.83,19.42,0.0635,2.7707
274,-103.74,16.13,0.0368,1.0467
275,-111.51,19.6,0.0501,2.0376
276,-292.24,-111.95,0.0995,3.1501
277,-75.74,44.07,0.0799,2.7308
278,-147.28,-23.85,0.0454,1.8374
279,-91.3,22.53,0.0123,0.4037
280,-92.77,22.13,0.0221,0.9206
281,-139.59,-3.33,0.0296,1.2324
282,-145.13,-10.43,0.0486,1.649
283,-204.61,-51.3,0.0962,3.7991
284,-98.84,23.45,0.0256,0.9155
285,-150.35,-9.27,0.0397,1.3825
286,-139.06,1.13,0.0243,0.6135
287,-99.82,5.31,0.0282,0.9655
288,-82.72,37.82,0.049,1.8123
289,-173.51,-38.15,0.0419,1.5681
290,-152.33,-27.82,0.0376,1.161
291,-87.38,61.21,0.1045,3.6943
292,-108.82,9.9,0.0379,1.5173
293,-95.84,36.14,0.053,1.9514
294,-222.27,-81.34,0.1004,4.305
295,-201.48,-48.05,0.0744,3.0244
296,-372.87,-174.62,0.365,14.5007
297,-94.09,33.06,0.0808,3.0274
298,-117.38,-5.15,0.0317,1.1675
299,-113.81,5.45,0.029,1.1394
300,-73.89,34.87,0.062,1.6646
301,-109.8,12.37,0.0634,2.2428
302,-96.26,31.54,0.0292,1.0134
303,-93.74,24.78,0.0196,0.6747
304,-168.81,-32.18,0.037,1.0337
305,-101.28,20.83,0.039,1.3026
306,-218.59,-66.19,0.0665,2.2114
307,-57.3,65.47,0.1002,4.0047
308,-106.82,9.45,0.0264,0.876
309,-124.63,2.45,0.0225,0.8847
310,-3.86,156.99,0.2566,9.1725
311,-86.88,50.04,0.0456,1.8008
312,-156.91,-17.76,0.0475,2.1795
313,-149.78,-27.6,0.0332,1.0003
314,-94.6,34.95,0.05,1.3854
315,-171.73,-57.21,0.1105,4.1048
316,-70.45,44.24,0.0465,1.7405
317,-56.02,54.37,0.071,2.9077
318,-148.27,-12.18,0.0392,1.6454
319,-108.38,13.48,0.0282,1.1217
320,-99.99,12.78,0.0083,0.2788
321,-122.93,-5.58,0.0073,0.1893
322,-146.2,-26.55,0.0328,1.059
323,-130.77,-20.28,0.0201,0.5766
324,-124.75,9.87,0.0335,1.3035
325,-325.14,-159.7,0.2616,9.3621
326,-179.62,-55.78,0.057,1.6097
327,-120.94,-8.4,0.019,0.5957
328,-143.08,-21.14,0.0493,2.0477
329,-112.51,20.41,0.0371,1.2518
330,-176.59,-64.27,0.1086,4.2178
331,-134.71,0.56,0.0519,1.9612
332,-191.16,-30.18,0.1428,4.4701
333,-111.55,-0.74,0.0128,0.3418
334,-114.45,10.66,0.0317,1.109
335,-61.25,40.14,0.091,3.691
336,-103.68,15.6,0.0123,0.299
337,-50.32,105.4,0.1016,2.3497
338,-375.15,-205.67,0.3986,13.4542
339,-368.42,-228.15,0.2761,10.8293
340,-93.55,15.63,0.0485,1.7559
341,-69.89,50.1,0.0859,2.9955
342,-123.45,-0.52,0.015,0.5458
343,-124.08,-12.57,0.0233,0.8153
344,-93.96,14.72,0.0564,1.8262
345,-152.03,-2.88,0.0269,1.0091
346,-89.49,34.61,0.057,1.6081
347,-111.22,3.55,0.0354,1.0513
348,-144.75,13.12,0.0657,2.5244
349,-287.94,-144.38,0.2606,10.31
350,-69.85,56.82,0.0951,3.7454
351,-66.22,47.89,0.1199,3.7414
352,-299.52,-151.43,0.1967,7.6976
353,-182.34,-24.2,0.0806,2.6875
354,-112.41,38.87,0.0278,0.6214
355,22.78,167.6,0.3497,12.3846
356,-77.4,58.42,0.0458,1.9137
357,-122.35,4.6,0.0136,0.517
358,-173.35,-13.04,0.0561,2.0523
359,-94.16,19.27,0.0206,0.6487
360,-174.1,-58.74,0.1083,4.0045
361,-236.64,-65.17,0.0867,2.7236
362,-98.85,26.55,0.0715,2.566
363,-242.14,-59.91,0.1342,5.2775
364,-126.84,1.73,0.0315,1.216
365,-121.07,21.81,0.0367,0.7959
366,-121.83,0.82,0.0134,0.506
367,-144.99,-12.07,0.015,0.3429
368,-96.3,14.5,0.0367,1.4721
369,-120.93,23.79,0.0409,1.6344
370,-92.07,19.4,0.0252,0.7979
371,-304.38,-115.53,0.1644,4.4879
372,-141.87,-3.65,0.0113,0.2822
373,-97.23,21.8,0.0603,1.9455
374,-187.32,-34.71,0.0518,1.3104
375,-45.87,64.13,0.128,5.2277
376,-64.24,55.69,0.0667,2.3402
377,-146.51,-23.1,0.0178,0.5856
378,-115.28,16.62,0.0287,0.9328
379,-349.23,-182.68,0.5156,15.3798
380,-257.1,-94.85,0.1495,5.7939
381,-165.77,-44.79,0.0846,2.6916
382,-99.22,16.68,0.0436,1.1829
383,-256.62,-83.93,0.0954,3.7362
384,-245.25,-78.61,0.1155,4.1087
385,-151.72,-18.52,0.0152,0.5176
386,-116.64,8.88,0.0386,0.8405
387,-72.57,42.4,0.0656,2.6602
388,-147.69,-9.99,0.0088,0.2982
389,-85.39,45.72,0.0273,0.8266
390,-130.28,-8.53,0.0303,1.1183
391,-174.22,-36.64,0.0651,1.7977
392,-102.08,12.93,0.0712,2.4193
393,-221.83,-72.64,0.2425,5.7088
394,-96.88,20.35,0.0332,1.1949
395,-58.82,76.56,0.055,1.5034
396,-126.5,-1.66,0.0166,0.5777
397,-95.6,42.49,0.0502,1.5863
398,-103.53,29.41,0.0482,1.5119
399,-345.66,-204.99,0.3377,11.4595
400,-98.94,32.72,0.0478,1.4815
401,-102.72,26.45,0.0246,0.9429
402,-146.82,-12.98,0.0172,0.4794
403,-180.43,-44.93,0.1169,3.5883
404,-67.75,50.9,0.09,2.8105
405,-123.11,4.72,0.0176,0.6794
406,-123.1,16.26,0.0384,1.1224
407,-159.16,-23.45,0.0694,2.2534
408,-98.7,24.36,0.0474,1.3861
409,-77.75,31.8,0.0926,3.0927
410,-186.05,-54.65,0.1667,3.5718
411,56.01,99.37,0.0501,1.2434
412,-133.41,2.37,0.0197,0.6433
413,-180.86,-22.86,0.1114,3.2473
414,-320.83,-139.79,0.1951,5.0563
415,-178.03,-15.97,0.0721,2.5559
416,-107.29,30.3,0.0684,2.2385
417,-232.95,-53.36,0.1413,3.8622
418,-111.56,3.67,0.0183,0.5537
419,-186.09,-34.41,0.0172,0.519
420,-90.82,37.37,0.0605,2.0311
