episode,rewards,actor_loss,critic_loss
187,62.00,-0.0170,0.0957
188,142.00,-0.4314,0.1458
189,31.00,-0.0164,0.1664
190,193.00,-0.0262,0.1165
191,161.00,-0.0272,0.1378
192,166.00,-0.5159,0.1710
193,121.00,-0.1741,0.2171
194,200.00,-0.3444,0.2357
195,224.00,-0.0344,0.2107
196,237.00,-0.2266,0.2734
197,132.00,-0.0192,0.2231
198,88.00,-0.0057,0.2611
199,205.00,-0.0361,0.2209
200,204.00,-0.1859,0.2380
201,173.00,-0.1455,0.2879
202,177.00,-0.0624,0.3011
203,244.00,-0.0719,0.2882
204,120.00,-0.0823,0.2599
205,180.00,-0.3234,0.2955
206,156.00,-0.0527,0.3056
207,195.00,-0.3386,0.2787
208,265.00,-0.0572,0.2971
209,212.00,-0.0547,0.2914
210,153.00,-0.2231,0.3084
211,67.00,-0.0313,0.4406
212,184.00,-0.0447,0.2254
213,78.00,-0.0597,0.3165
214,58.00,-0.8485,0.3351
215,152.00,-0.0257,0.1720
216,208.00,-0.3724,0.2589
217,298.00,-0.2695,0.2875
218,130.00,-0.0097,0.2705
219,298.00,-0.1565,0.2985
220,350.00,-0.1151,0.3103
221,215.00,-0.0288,0.2767
222,257.00,-0.0230,0.2993
223,196.00,-0.2122,0.8775
224,447.00,-0.3850,0.4409
225,126.00,-0.1096,0.8478
226,116.00,-0.7599,0.6987
227,117.00,-0.0230,0.6585
228,193.00,-0.1995,0.5291
229,116.00,-1.0834,0.4924
230,219.00,-0.1253,0.4443
231,158.00,-0.0407,0.4111
232,147.00,-0.0252,0.3654
233,125.00,-0.0382,0.3779
234,122.00,-0.0843,0.3077
235,146.00,-0.0327,0.3263
236,141.00,-0.0531,0.2724
237,158.00,-0.0745,0.2616
238,99.00,-0.0314,0.2596
239,14.00,-0.1817,0.4725
240,135.00,-0.0652,0.2408
241,248.00,-0.7528,0.2566
242,163.00,-0.1338,0.2552
243,99.00,-0.1010,0.2536
244,140.00,-0.1847,0.2107
245,162.00,-0.4815,0.2167
246,20.00,-0.1684,0.4403
247,26.00,-0.2531,0.3791
248,120.00,-0.0064,0.3765
249,26.00,-0.1944,0.3357
250,174.00,-0.0178,0.1941
251,98.00,-0.0108,0.3331
252,158.00,-0.4178,0.2018
253,216.00,-0.3843,0.2791
254,142.00,-0.1790,0.2507
255,19.00,-0.3248,0.3251
256,112.00,-0.0434,0.3204
257,172.00,-0.3913,0.2344
258,300.00,-0.0930,0.3283
259,306.00,-0.4689,0.2943
260,223.00,-0.0476,0.2970
261,200.00,-0.4548,0.2983
262,168.00,-0.2529,0.2856
263,139.00,-0.0872,0.2658
264,156.00,-0.4015,0.2772
265,137.00,-0.5530,0.2552
266,127.00,-0.2874,0.2365
267,133.00,-0.4820,0.2226
268,137.00,-0.4237,0.2209
269,104.00,-0.3003,0.1992
270,132.00,-0.0246,0.2211
271,135.00,-0.0389,0.2120
272,132.00,-0.0518,0.1906
273,27.00,-0.0149,0.3230
274,129.00,-0.0677,0.1729
275,25.00,-0.0138,0.2772
276,140.00,-0.6565,0.1643
277,119.00,-0.0062,0.1617
278,127.00,-0.0099,0.1710
279,141.00,-0.5192,0.1679
280,133.00,-0.0525,0.1710
281,138.00,-0.1331,0.1621
282,127.00,-0.0706,0.1702
283,127.00,-0.1526,0.1776
284,119.00,-0.0190,0.1604
285,146.00,-0.2111,0.1611
286,105.00,-0.0083,0.1529
287,106.00,-0.0043,0.1367
288,121.00,-0.2168,0.1550
289,134.00,-0.0247,0.1675
290,154.00,-0.4058,0.1630
291,123.00,-0.0244,0.1569
292,140.00,-0.4040,0.1519
293,140.00,-0.2237,0.1643
294,136.00,-0.0443,0.1678
295,137.00,-0.6915,0.1509
296,142.00,-0.4754,0.1585
297,160.00,-0.0504,0.1727
298,138.00,-0.2793,0.1684
299,148.00,-0.0325,0.1850
300,159.00,-0.4112,0.1862
301,141.00,-0.3692,0.1811
302,122.00,-0.1615,0.1542
303,18.00,-0.0896,0.3466
304,111.00,-0.0243,0.1183
305,107.00,-0.0183,0.1105
306,126.00,-0.4166,0.1242
307,171.00,-0.1457,0.1448
308,152.00,-0.5737,0.1532
309,143.00,-0.1197,0.1500
310,156.00,-0.0119,0.1441
311,151.00,-0.5731,0.1391
312,129.00,-0.0102,0.1194
313,132.00,-0.0226,0.1196
314,132.00,-0.3763,0.1234
315,158.00,-0.1999,0.1364
316,166.00,-0.0102,0.1612
317,158.00,-0.0124,0.1343
318,150.00,-0.0131,0.1314
319,152.00,-0.0133,0.1473
320,143.00,-0.1809,0.1474
321,180.00,-0.0452,0.1563
322,91.00,-0.9906,0.2841
323,66.00,-0.0425,0.3797
324,105.00,-0.0563,0.3415
325,188.00,-0.0061,0.1238
326,54.00,-0.0212,0.2990
327,171.00,-0.3624,0.1055
328,142.00,-0.1441,0.0859
329,146.00,-0.0090,0.1139
330,154.00,-0.0167,0.1083
331,146.00,-0.1593,0.0959
332,117.00,-0.0598,0.0997
333,126.00,-0.2327,0.0920
334,152.00,-0.0165,0.1046
335,135.00,-0.1427,0.1057
336,148.00,-0.0090,0.1098
337,137.00,-0.0637,0.1084
338,147.00,-0.0180,0.1130
339,173.00,-0.0355,0.1276
340,176.00,-0.0243,0.0990
341,156.00,-0.8732,0.1107
342,157.00,-0.0393,0.1344
343,151.00,-1.1043,0.1453
344,227.00,-0.2555,0.2114
345,49.00,-0.0455,0.4171
346,83.00,-0.0004,0.4292
347,199.00,-0.0013,0.2944
348,40.00,-0.0420,0.3220
349,42.00,-0.5269,0.3349
350,189.00,-0.2864,0.1330
351,191.00,-0.3096,0.1321
352,197.00,-0.9433,0.1887
353,200.00,-0.1935,0.1607
354,218.00,-0.1488,0.1961
355,31.00,-0.0189,0.3551
356,217.00,-0.0034,0.2577
357,203.00,-0.0584,0.2129
358,221.00,-0.2779,0.2120
359,255.00,-1.1811,0.2354
360,262.00,-0.2121,0.2703
361,235.00,-0.0651,0.2574
362,242.00,-0.0026,0.2481
363,224.00,-0.0623,0.2918
364,208.00,-0.2979,0.2745
365,180.00,-0.5671,0.2918
366,213.00,-0.8782,0.2812
367,215.00,-0.0615,0.3064
368,278.00,-0.2710,0.3021
369,245.00,-0.3466,0.2786
370,281.00,-0.0345,0.2945
371,248.00,-0.0510,0.3447
372,278.00,-0.3080,0.3154
373,275.00,-0.2709,0.3398
374,213.00,-0.1066,0.3374
375,243.00,-0.4387,0.3646
376,321.00,-0.2684,0.3995
377,277.00,-0.2254,0.3487
378,309.00,-0.1117,0.3568
379,379.00,-0.0316,0.3306
380,374.00,-0.1586,0.4027
381,313.00,-0.1216,0.3670
382,357.00,-0.9020,0.3972
383,360.00,-0.0052,0.3874
384,283.00,-1.4227,0.3978
385,233.00,-0.0844,0.3829
386,282.00,-0.0543,0.3124
387,210.00,-0.7886,0.3330
388,195.00,-0.0734,0.3032
389,237.00,-1.2668,0.2912
390,241.00,-0.2814,0.2730
391,219.00,-0.0538,0.2622
392,212.00,-0.0043,0.2716
393,212.00,-0.1777,0.2491
394,197.00,-0.1074,0.2594
395,203.00,-0.0582,0.2517
396,248.00,-0.5061,0.2320
397,261.00,-0.2697,0.2571
398,258.00,-0.0438,0.2669
399,251.00,-0.1790,0.2629
400,295.00,-0.0426,0.2540
401,250.00,-0.0504,0.2518
402,215.00,-0.2610,0.2809
403,218.00,-0.5627,0.2589
404,215.00,-2.0406,0.2987
405,192.00,-0.1199,0.2245
406,211.00,-0.0340,0.1931
407,202.00,-0.0319,0.2151
408,218.00,-0.2615,0.1988
409,205.00,-0.1565,0.2245
410,198.00,-0.3773,0.1922
411,221.00,-0.0536,0.1970
412,214.00,-0.8703,0.1797
413,186.00,-0.1628,0.1961
414,197.00,-0.1110,0.1850
415,193.00,-0.0741,0.1664
416,177.00,-0.4199,0.1953
417,181.00,-0.2054,0.2056
418,168.00,-0.0030,0.1855
419,170.00,-0.0162,0.1766
420,194.00,-0.4871,0.1935
421,176.00,-0.0642,0.1449
422,183.00,-0.1144,0.1501
423,177.00,-0.0575,0.1466
424,195.00,-0.0040,0.1364
425,243.00,-0.1285,0.1349
426,216.00,-0.0835,0.2087
427,212.00,-0.1017,0.1565
428,232.00,-0.0028,0.3155
429,274.00,-0.3361,0.2285
430,407.00,-1.4889,1.3834
431,261.00,-0.0040,1.0146
432,235.00,-0.1447,0.8860
433,150.00,-0.0235,0.8406
434,154.00,-0.4828,0.7092
435,196.00,-0.1018,0.6157
436,118.00,-0.0224,0.5425
437,128.00,-0.7320,0.4950
438,9.00,-0.0101,0.4668
439,12.00,-0.0266,0.3924
440,10.00,-0.0147,0.4013
441,10.00,-0.0190,0.3483
442,13.00,-0.0292,0.3006
443,115.00,-0.2587,0.3352
444,83.00,-0.0029,0.2798
445,9.00,-0.0437,0.2802
446,98.00,-0.0530,0.2468
447,107.00,-0.1539,0.2321
448,97.00,-0.0394,0.2073
449,109.00,-0.0070,0.1860
450,113.00,-0.1026,0.1863
451,108.00,-0.0364,0.1700
452,12.00,-0.2584,0.2350
453,105.00,-0.0001,0.1320
454,118.00,-0.0013,0.1360
455,118.00,-0.0016,0.1315
456,126.00,-0.0549,0.1532
457,152.00,-0.0491,0.1469
458,160.00,-0.0009,0.1418
459,126.00,-0.0052,0.1425
460,132.00,-0.0062,0.1646
461,137.00,-0.0020,0.1594
462,184.00,-0.0059,0.1531
463,145.00,-0.0144,0.1616
464,152.00,-0.0157,0.1507
465,154.00,-0.0323,0.1533
466,137.00,-0.0804,0.1557
467,159.00,-0.3264,0.1574
468,152.00,-0.0279,0.1692
469,141.00,-0.0005,0.1604
470,145.00,-0.0210,0.1582
471,141.00,-0.0298,0.1488
472,153.00,-0.0015,0.1431
473,165.00,-0.0016,0.1540
474,172.00,-0.0023,0.1520
475,145.00,-0.1114,0.1354
476,129.00,-0.0010,0.1146
477,146.00,-0.0001,0.1083
478,148.00,-0.0262,0.1045
479,123.00,-0.0007,0.0913
480,111.00,-0.0059,0.0738
481,159.00,-0.0057,0.0745
482,185.00,-0.0759,0.0852
483,140.00,-0.0000,0.0778
484,155.00,-0.0015,0.0739
485,103.00,-0.0001,0.0507
486,159.00,-0.0055,0.0600
487,154.00,-0.0045,0.0554
488,124.00,-0.0026,0.0474
489,166.00,-0.0012,0.0519
490,264.00,-0.0101,0.3354
491,179.00,-0.0118,0.2716
492,180.00,-0.0563,0.2662
493,211.00,-0.8848,0.2445
494,183.00,-0.3763,0.2675
495,192.00,-0.0224,0.2677
496,191.00,-0.0853,0.2575
497,302.00,-0.0277,0.2657
498,238.00,-0.7500,0.2593
499,165.00,-0.0209,0.2287
500,218.00,-0.0097,0.2280
501,195.00,-0.0007,0.2255
502,239.00,-0.0072,0.2213
503,342.00,-0.0495,0.2192
504,171.00,-0.0213,0.2009
505,158.00,-0.0687,0.1814
506,188.00,-0.0126,0.1704
507,167.00,-0.0526,0.1534
508,141.00,-0.1103,0.1455
509,156.00,-0.0019,0.1543
510,156.00,-0.4107,0.1263
511,167.00,-0.0174,0.1524
512,160.00,-0.2238,0.1429
513,167.00,-0.1647,0.1393
514,184.00,-0.3253,0.1451
515,148.00,-0.9415,0.1282
516,186.00,-0.0692,0.1137
517,149.00,-0.1024,0.1066
518,137.00,-0.1969,0.1090
519,127.00,-0.0859,0.0909
520,135.00,-0.0075,0.0952
521,129.00,-0.0361,0.0825
522,130.00,-0.0124,0.0859
523,139.00,-0.0565,0.0821
524,136.00,-0.0023,0.0830
525,117.00,-0.0032,0.0788
526,126.00,-0.0018,0.0843
527,131.00,-0.0030,0.0692
528,130.00,-0.0113,0.0767
529,149.00,-0.0026,0.0806
530,137.00,-0.0652,0.0878
531,137.00,-0.3579,0.0877
532,145.00,-0.0085,0.0908
533,131.00,-0.1244,0.0927
534,136.00,-0.0183,0.0961
535,119.00,-0.0929,0.1060
536,151.00,-0.0172,0.1071
537,147.00,-0.1132,0.1254
538,139.00,-0.0459,0.1271
539,107.00,-0.0002,0.2170
540,78.00,-0.0042,0.2637
541,87.00,-0.0296,0.2279
542,134.00,-0.5793,0.1190
543,154.00,-0.0645,0.1050
544,163.00,-0.0665,0.1218
545,110.00,-0.0032,0.1011
546,200.00,-0.0671,0.1217
547,168.00,-0.2096,0.1408
548,209.00,-0.1671,0.1467
549,210.00,-0.3789,0.1599
550,194.00,-0.0589,0.1652
551,212.00,-0.0382,0.1673
552,202.00,-0.0158,0.1971
553,196.00,-0.1807,0.2211
554,171.00,-0.0509,0.2105
555,236.00,-0.0530,0.2180
556,196.00,-0.0425,0.1903
557,226.00,-0.2384,0.2292
558,172.00,-0.0014,0.2288
559,211.00,-0.0008,0.2221
560,178.00,-0.0021,0.1890
561,160.00,-0.0002,0.2532
562,162.00,-0.9912,0.1956
563,143.00,-0.0277,0.1654
564,162.00,-0.2919,0.1577
565,154.00,-0.0505,0.1714
566,153.00,-0.0329,0.1499
567,176.00,-0.0702,0.1751
568,168.00,-0.0010,0.1522
569,156.00,-0.0017,0.1725
570,154.00,-0.2181,0.1838
571,189.00,-0.0726,0.1638
572,171.00,-0.2229,0.1645
573,151.00,-0.3967,0.1611
574,187.00,-0.0106,0.1574
575,231.00,-0.0607,0.1622
576,176.00,-0.1036,0.1712
577,147.00,-0.0408,0.1697
578,174.00,-0.0019,0.1607
579,167.00,-0.0006,0.1828
580,159.00,-0.5800,0.1812
581,232.00,-0.4492,0.1703
582,171.00,-0.4865,0.1796
583,180.00,-0.0105,0.1731
584,200.00,-0.0907,0.1878
585,180.00,-0.0009,0.2016
586,195.00,-0.0003,0.1867
587,215.00,-0.0063,0.1711
588,195.00,-0.0009,0.1713
589,158.00,-0.2715,0.2015
590,183.00,-0.0261,0.1634
591,203.00,-0.0121,0.1661
592,196.00,-0.0120,0.1732
593,223.00,-0.1167,0.1718
594,184.00,-0.2154,0.1823
595,184.00,-0.0156,0.1538
596,206.00,-0.7970,0.1916
597,166.00,-0.7607,0.1456
598,185.00,-0.1699,0.1575
599,159.00,-0.0732,0.1579
600,188.00,-0.0196,0.1468
601,175.00,-0.0001,0.1407
602,141.00,-0.0615,0.1466
603,155.00,-0.0706,0.1460
604,159.00,-1.3056,0.1264
605,136.00,-1.1966,0.1250
606,152.00,-0.1500,0.1058
607,121.00,-0.0024,0.1067
608,86.00,-0.0025,0.0885
609,135.00,-0.2354,0.0744
610,135.00,-0.0085,0.0773
611,143.00,-0.0129,0.0763
612,165.00,-0.0057,0.0862
613,128.00,-0.0109,0.0881
614,159.00,-0.1566,0.1053
615,164.00,-0.0788,0.1177
616,137.00,-0.0134,0.1156
617,150.00,-0.0058,0.1105
618,213.00,-0.2947,0.1280
619,176.00,-0.0229,0.1443
620,231.00,-0.0165,0.1511
621,191.00,-0.1907,0.1593
622,168.00,-0.0756,0.1521
623,158.00,-0.0309,0.1463
624,165.00,-0.0315,0.1485
625,144.00,-0.0407,0.1456
626,140.00,-0.0014,0.1403
627,165.00,-0.0580,0.1320
628,159.00,-0.0200,0.1351
629,93.00,-0.0142,0.1003
630,148.00,-0.0442,0.1151
631,161.00,-0.1669,0.1106
632,166.00,-0.2529,0.1190
633,143.00,-0.0291,0.1170
634,156.00,-0.2838,0.1161
635,178.00,-0.0889,0.1241
636,195.00,-0.0070,0.1255
637,162.00,-0.0000,0.0931
638,179.00,-0.5641,0.1358
639,146.00,-0.0123,0.1388
640,142.00,-0.0522,0.1238
641,137.00,-0.0004,0.0607
642,166.00,-0.0013,0.1360
643,220.00,-0.0076,0.1309
644,171.00,-0.5465,0.1497
645,139.00,-0.1114,0.1334
646,159.00,-0.0819,0.1352
647,190.00,-0.0008,0.1322
648,118.00,-0.0033,0.1212
649,104.00,-0.0026,0.0749
650,161.00,-0.0499,0.0997
651,190.00,-0.0477,0.1090
652,192.00,-0.0327,0.1187
653,198.00,-0.0493,0.1223
654,158.00,-0.2878,0.1252
655,204.00,-0.1264,0.1231
656,181.00,-0.0563,0.1458
657,167.00,-0.4555,0.1462
658,145.00,-0.0972,0.1239
659,121.00,-0.2275,0.1116
660,145.00,-0.6831,0.1028
661,140.00,-0.0101,0.1034
662,156.00,-0.1947,0.1093
663,176.00,-0.2132,0.1224
664,143.00,-0.1509,0.1227
665,156.00,-0.0014,0.1261
666,165.00,-0.8922,0.1199
667,209.00,-0.0000,0.1391
668,172.00,-0.0092,0.1453
669,191.00,-0.0100,0.1432
670,171.00,-0.0473,0.1472
671,190.00,-0.0032,0.1485
672,169.00,-0.1612,0.1507
673,173.00,-0.0075,0.1460
674,162.00,-0.0360,0.1440
675,140.00,-0.0288,0.1464
676,145.00,-0.0000,0.1397
677,191.00,-0.1750,0.1349
678,148.00,-0.1008,0.1229
679,95.00,-0.0043,0.1079
680,144.00,-0.1152,0.0934
681,132.00,-0.0069,0.0732
682,133.00,-0.0132,0.0812
683,143.00,-0.0007,0.0920
684,153.00,-0.0076,0.0910
685,151.00,-0.0336,0.0992
686,158.00,-0.0074,0.1082
687,125.00,-0.0149,0.0832
688,125.00,-0.0199,0.0717
689,128.00,-0.0004,0.0793
690,141.00,-0.0483,0.0898
691,154.00,-0.1595,0.0922
692,143.00,-0.2702,0.0884
693,146.00,-0.0466,0.1048
694,154.00,-0.0007,0.1065
695,154.00,-0.0825,0.1125
696,150.00,-0.2089,0.1152
697,114.00,-0.0046,0.0874
698,144.00,-0.0564,0.0917
699,133.00,-0.0509,0.0942
700,155.00,-0.0014,0.0909
701,160.00,-0.0571,0.1074
702,160.00,-0.0143,0.1073
703,165.00,-0.0023,0.1261
704,166.00,-0.0241,0.1260
705,152.00,-0.5529,0.1313
706,152.00,-0.0753,0.1188
707,132.00,-0.0051,0.1114
708,129.00,-0.2065,0.1075
709,134.00,-0.0388,0.0964
710,106.00,-0.9800,0.0906
711,170.00,-0.1157,0.0957
712,155.00,-0.1387,0.0973
713,162.00,-0.1041,0.1015
714,165.00,-0.0883,0.1075
715,186.00,-0.0008,0.0511
716,165.00,-0.0003,0.0956
717,180.00,-0.3017,0.1403
718,202.00,-0.1329,0.1663
719,186.00,-0.3077,0.1700
720,292.00,-0.0292,0.1857
721,222.00,-0.0771,0.1875
722,189.00,-0.0010,0.1894
723,165.00,-0.3756,0.2179
724,154.00,-0.0060,0.1798
725,173.00,-0.0356,0.1645
726,182.00,-0.1947,0.1601
727,162.00,-0.0012,0.1694
728,208.00,-0.0012,0.1699
729,211.00,-0.0884,0.1702
730,181.00,-0.0000,0.1737
731,216.00,-0.3863,0.1637
732,151.00,-0.0149,0.1539
733,166.00,-0.0025,0.1471
734,147.00,-0.0002,0.1429
735,161.00,-0.0058,0.1316
736,160.00,-0.0016,0.1322
737,157.00,-0.0143,0.1258
738,153.00,-0.0206,0.1264
739,134.00,-0.3355,0.1253
740,177.00,-0.0057,0.1285
741,166.00,-0.0137,0.1325
742,168.00,-0.1919,0.1367
743,162.00,-0.0051,0.1178
744,155.00,-0.0255,0.1256
745,177.00,-0.0029,0.1301
746,170.00,-0.0854,0.1305
747,157.00,-0.0915,0.1225
748,131.00,-0.0265,0.1124
749,123.00,-0.1064,0.1105
750,155.00,-0.0231,0.1091
751,137.00,-0.0394,0.1046
752,142.00,-0.0002,0.1062
753,151.00,-0.5220,0.1056
754,95.00,-0.3375,0.1000
755,133.00,-0.1512,0.0870
756,109.00,-0.1201,0.0848
757,134.00,-0.6004,0.0869
758,119.00,-0.0047,0.0842
759,119.00,-0.0187,0.0845
760,130.00,-0.0598,0.0818
761,120.00,-0.2375,0.0805
762,106.00,-0.0097,0.0709
763,120.00,-0.0960,0.0726
764,93.00,-0.1345,0.0611
765,80.00,-0.0664,0.0557
766,74.00,-0.3994,0.0444
767,35.00,-0.0039,0.2094
768,95.00,-0.0129,0.0256
769,108.00,-0.0081,0.0296
770,117.00,-0.0049,0.0345
771,103.00,-0.0087,0.0381
772,128.00,-0.0980,0.0429
773,123.00,-0.0455,0.0461
774,127.00,-0.0128,0.0517
