episode,rewards,actor_loss,critic_loss
180,-128.39,-0.0002,0.0001
181,-180.90,0.0009,0.0000
182,-189.00,-0.0030,0.2245
183,-107.75,-0.0144,0.0444
184,-169.98,-0.0000,0.0001
185,-203.81,-0.0127,0.5945
186,-106.50,-0.0005,0.0372
187,-161.92,-0.0002,0.0000
188,-107.92,-0.0002,0.0395
189,-233.11,-0.2315,0.3808
190,-169.64,-0.0013,0.0001
191,-157.68,-0.0891,0.4728
192,-139.84,0.0339,0.1026
193,-97.52,-0.0003,0.0002
194,-240.06,-0.7565,0.5111
195,-186.08,-0.0002,0.0002
196,-189.39,-0.0412,0.0538
197,-180.46,0.0009,0.0002
198,-132.88,-0.0039,0.4794
199,-213.97,-0.1136,0.3761
200,-171.66,-0.0037,0.0000
201,-142.29,0.0022,0.0001
202,-76.31,0.0001,0.0000
203,-111.64,-0.0012,0.0000
204,-131.93,-0.0000,0.0000
205,-171.43,-0.0001,0.0001
206,-127.14,-2.2040,0.1557
207,-144.32,0.0000,0.0001
208,-171.48,-1.1499,0.2266
209,-101.01,-0.0027,0.0000
210,-102.77,-0.0178,0.0054
211,-128.94,0.0005,0.1324
212,-132.64,-0.0002,0.0001
213,-146.42,-0.2051,0.3193
214,-117.11,-0.0025,0.0004
215,-270.63,-0.0013,0.3070
216,-122.12,-0.0055,0.0003
217,-106.40,0.0015,0.0000
218,-97.98,-0.0001,0.0001
219,-151.98,-0.0010,0.0000
220,-189.66,-0.0000,0.0001
221,-83.43,-0.0006,0.1395
222,-120.27,-0.0026,0.0000
223,-176.03,0.0006,0.0000
224,-26.47,0.0002,0.0001
225,-138.16,0.0034,0.0000
226,-166.74,-0.0048,0.0001
227,-92.32,-0.2181,0.9990
228,-119.32,-3.4269,0.1870
229,-176.74,0.0377,0.0038
230,-104.92,0.0002,0.0002
231,-233.55,-0.2318,0.0948
232,-185.69,-0.0081,0.0001
233,-268.37,-0.5075,0.1989
234,-31.55,0.0000,0.0000
235,-107.90,-0.0056,0.0000
236,-144.03,0.0000,0.0000
237,-95.66,-0.0006,0.0000
238,-58.39,-0.0009,0.0000
239,-136.76,0.0073,0.0000
240,-117.43,-0.0007,0.0325
241,-125.26,-0.2185,0.5820
242,-92.30,-0.1083,0.3620
243,-118.95,0.0000,0.0007
244,-110.25,-0.0157,0.0000
245,-141.36,-0.0015,0.3370
246,-147.42,-1.7293,0.7100
247,-162.64,-0.0011,0.0000
248,-211.35,-0.0048,0.0000
249,-165.89,-0.0958,0.2268
250,-234.97,-0.9889,0.5267
251,-135.16,-0.2156,0.2710
252,-268.67,-0.0382,0.3615
253,-180.70,0.0000,0.0000
254,-107.45,-0.0186,0.0041
255,-171.89,0.0000,0.0000
256,-108.17,-0.0001,0.0010
257,-148.93,0.0852,0.0392
258,-165.75,-0.0103,0.2507
259,-157.20,0.0009,0.0003
260,-155.36,-0.1383,0.0345
261,-169.93,-0.0000,0.0000
262,-143.25,0.0009,0.0000
263,-153.85,-0.2042,0.1054
264,-123.63,0.0007,0.0000
265,-95.75,-0.0008,0.0001
266,-165.27,-0.0001,0.5643
267,-225.73,-0.0075,0.3090
268,-190.37,-0.0001,0.1072
269,-63.72,-0.0000,0.0000
270,-99.44,0.0000,0.0027
271,-93.73,0.6142,0.0406
272,-69.43,-0.5520,0.3618
273,-113.74,0.0000,0.0000
274,-122.83,-0.0001,0.0000
275,-98.87,-0.8432,0.1636
276,-155.22,0.0000,0.0000
277,-253.54,-0.0173,0.5464
278,-100.78,-0.2525,0.3164
279,-162.06,-0.1526,0.4420
280,-105.38,0.0000,0.8421
281,22.86,-0.0039,0.0000
282,-174.44,-0.1196,0.3949
283,46.79,-0.0000,0.8751
284,4.36,0.0012,0.0000
285,177.04,0.0020,0.6693
286,-56.43,-0.0000,0.0000
287,-54.04,-0.0001,0.0001
288,-68.51,-0.0001,0.0001
289,-91.67,-0.0002,0.0000
290,-14.84,-0.0142,0.0003
291,-72.68,-0.0000,0.0000
292,69.98,-0.0015,0.0000
293,138.57,-0.0000,0.7343
294,-86.19,0.0000,1.5038
295,-275.89,0.0000,0.1238
296,-57.78,-0.0000,0.4558
297,-24.82,-0.0000,0.0000
298,-160.18,-0.5099,0.1834
299,-113.39,-0.4000,0.1448
300,192.28,0.0000,0.9591
301,-93.54,-0.6565,0.1834
302,122.16,0.0000,0.8396
303,97.44,0.0002,0.0000
304,198.61,-0.0000,0.6549
305,-67.49,-0.0000,0.0660
306,9.17,0.0000,0.0000
307,-88.34,0.0000,1.7695
308,-103.59,-0.0000,0.7155
309,86.12,-0.0000,1.1949
310,97.38,-0.0008,0.0000
311,-67.91,-0.0000,1.0345
312,164.12,0.0019,1.0961
313,-10.49,0.0014,0.0005
314,-52.77,-0.0000,0.0000
315,109.50,-0.0014,0.0000
316,-5.96,-0.0000,0.8228
317,34.61,0.0001,0.0000
318,-22.84,-0.0062,0.0002
319,165.64,0.0000,1.2991
320,8.02,0.0000,0.0000
321,-23.99,-0.0418,0.0004
322,-82.04,0.0000,1.1137
323,-44.22,-0.0000,0.6465
324,-79.14,-0.0485,0.2271
325,-36.98,-0.0002,0.0000
326,-31.37,0.0003,0.0001
327,-29.09,-0.0003,0.0000
328,-76.43,-0.0047,0.0001
329,-52.15,0.0007,0.0000
330,-97.35,-0.0829,0.5484
331,-80.18,-0.0710,0.0002
332,-217.63,-1.9903,0.5836
333,-72.35,-0.0087,0.0002
334,-82.91,0.0007,0.0001
335,-119.62,0.0000,0.0000
336,-71.84,0.0000,0.0000
337,-177.49,-0.0001,0.0000
338,-160.45,-0.0119,0.3328
339,-184.42,-0.0013,0.2938
340,-250.25,-0.0298,0.3545
341,-98.29,-0.0053,0.2671
342,-64.54,0.0014,0.0006
343,-157.99,-1.9014,0.4382
344,-106.90,0.0001,0.0000
345,-81.78,0.0000,0.0000
346,-124.40,-0.0002,0.0000
347,-128.40,-0.0000,0.0000
348,-49.83,-0.0052,0.0000
349,-10.79,0.0000,0.7533
350,-56.55,0.0000,0.0066
351,-3.82,-0.0007,0.0001
352,-46.37,-0.0003,0.0000
353,-83.18,0.0001,0.0000
354,-34.55,0.0022,0.0001
355,-55.65,-0.0000,0.0220
356,-79.21,-0.0000,0.0715
357,-95.98,-0.0000,0.0230
358,-71.74,0.0000,0.3976
359,7.57,0.0000,0.0000
360,-76.33,0.0015,0.0000
361,-74.45,0.1538,0.1136
362,-79.25,-0.0000,0.0402
363,104.53,-0.0016,0.0000
364,-97.31,-0.0099,0.0001
365,-63.71,-0.0000,0.0225
366,-48.38,0.0000,0.0030
367,-198.24,-0.4884,0.4124
368,-146.23,-0.0792,0.2586
369,-156.57,0.0000,0.9176
370,-68.53,-0.0011,0.0288
371,-137.04,-0.0128,0.4771
372,-44.11,0.0000,0.0366
373,-34.53,-0.0000,0.0472
374,-107.39,-0.0797,0.4156
375,-44.76,0.0000,0.1017
376,67.54,-0.0012,0.0000
377,-43.99,-0.0000,0.1466
378,85.16,0.0010,0.0000
379,-51.13,0.0000,0.0284
380,-39.26,0.0000,0.4021
381,-56.39,0.0002,0.0001
382,-61.61,-0.0000,0.0428
383,-90.10,0.0001,0.0000
384,-93.75,-0.0003,0.0000
385,-86.76,0.0001,0.0000
386,-37.09,-0.1997,0.6751
387,-102.41,-0.0017,0.0000
388,-102.44,-0.0131,0.0001
389,-149.72,-0.0000,0.0002
390,-65.37,0.0012,0.0000
391,-88.92,-0.2348,0.0944
392,-89.01,-0.0010,0.0000
393,-120.93,0.0000,0.0000
394,-96.53,-0.0004,0.1358
395,-190.34,-0.0002,0.0563
396,-131.27,-0.0000,0.0002
397,-94.45,-0.0001,0.1671
398,-129.69,-0.0410,0.0004
399,-89.21,-0.0171,0.0001
400,-137.67,0.0000,0.0000
401,-179.85,-0.0000,0.0000
402,-147.53,0.0640,0.0019
403,-141.34,-0.0035,0.0258
404,-138.90,-0.2168,0.6019
405,-133.96,-0.0377,0.3455
406,-104.42,-0.7271,0.2571
407,-5.99,0.0280,0.0004
408,-68.47,-0.3007,0.5859
409,123.59,0.0005,1.1314
410,-144.98,0.0000,0.4362
411,-69.18,-0.0000,0.0000
412,-61.67,0.0017,0.0006
413,-50.16,-0.0033,0.0000
414,-113.81,-0.0141,0.2074
415,-81.73,-0.2356,0.1572
416,-70.61,-0.0005,0.0951
417,-64.12,0.0000,0.5258
418,-76.98,0.0038,0.0000
419,-25.50,-0.0164,0.0001
420,-110.76,-0.0732,0.1002
421,-27.56,0.0009,0.0000
422,-82.30,0.0000,0.1201
423,-25.32,-0.0190,0.0214
424,-107.49,-0.0044,0.0000
425,-100.77,0.0150,0.0001
426,-140.74,-0.1267,0.1379
427,-53.56,-0.0049,0.0000
428,-74.81,-0.2460,0.4824
429,-80.78,-0.4387,0.1384
430,-160.05,-0.0253,0.1034
431,-50.30,-0.0434,0.4618
432,-111.82,-0.0857,0.0125
433,-50.74,0.0000,0.2004
434,-88.97,0.0009,0.0000
435,-116.44,0.0004,0.0000
436,-92.42,-0.1702,0.0328
437,-69.60,0.0000,0.0000
438,-105.59,-0.0006,0.2904
439,146.22,-0.0000,2.2933
440,-139.95,0.0164,0.0012
441,-105.89,-0.0036,0.0112
442,214.30,0.1115,1.1936
443,-188.04,-0.1675,0.0575
444,174.77,0.0000,1.2471
445,22.74,-0.0040,0.0000
446,-150.07,0.6584,0.0521
447,-110.57,0.0000,0.7587
448,-207.98,-0.2166,0.0183
449,-52.56,-0.0000,0.3893
450,-126.44,0.0081,0.0335
451,-107.64,0.0028,0.0148
452,-57.73,0.0001,0.0000
453,-76.60,0.0000,0.2403
454,43.00,-0.0000,0.9629
455,-130.08,-0.0028,0.0225
456,-103.31,-0.0550,0.0909
