episode,rewards,actor_loss,critic_loss
187,40.00,-0.0680,0.0992
188,73.00,-0.1524,0.1206
189,43.00,-0.4158,0.0920
190,37.00,-0.0905,0.1092
191,41.00,-0.0554,0.0842
192,41.00,-0.0351,0.0877
193,118.00,-0.0376,0.0998
194,60.00,-0.1304,0.1174
195,82.00,-0.0531,0.0973
196,27.00,-0.1420,0.0974
197,45.00,-0.0618,0.0786
198,31.00,-0.0958,0.0735
199,75.00,-0.2472,0.0998
200,46.00,-0.3633,0.0691
201,52.00,-0.0886,0.1081
202,37.00,-0.0384,0.0845
203,61.00,-0.1938,0.0891
204,24.00,-0.0703,0.1032
205,115.00,-0.0635,0.0874
206,74.00,-0.0481,0.0912
207,57.00,-0.3666,0.0860
208,102.00,-0.0241,0.0923
209,90.00,-0.1119,0.0891
210,44.00,-0.1745,0.0899
211,46.00,-0.0638,0.0745
212,43.00,-0.0747,0.0676
213,19.00,-0.0377,0.0920
214,62.00,-0.1282,0.0630
215,49.00,-0.0332,0.0395
216,87.00,-0.0443,0.0547
217,135.00,-0.0346,0.0394
218,132.00,-0.8280,0.1280
219,25.00,-0.2669,0.0801
220,54.00,-0.0665,0.0502
221,45.00,-0.0259,0.1275
222,121.00,-0.0298,0.0385
223,66.00,-0.0927,0.0791
224,140.00,-0.4405,0.2533
225,56.00,-0.1450,0.0699
226,114.00,-0.0419,0.0794
227,61.00,-0.0203,0.0590
228,40.00,-0.0191,0.0915
229,46.00,-0.0368,0.0399
230,55.00,-0.0322,0.0697
231,116.00,-0.1152,0.2187
232,48.00,-0.0224,0.0366
233,125.00,-0.0417,0.0906
234,92.00,-0.0824,0.1955
235,133.00,-0.3912,0.2743
236,102.00,-0.0307,0.0919
237,42.00,-0.5956,0.0780
238,159.00,-0.0487,0.2108
239,127.00,-0.4925,0.2979
240,189.00,-0.0586,0.2434
241,63.00,-0.0232,0.2554
242,225.00,-0.0365,0.2568
243,190.00,-0.0689,0.3073
244,211.00,-0.3244,0.2650
245,142.00,-0.4520,0.3308
246,146.00,-0.9880,0.2845
247,126.00,-0.2060,0.2513
248,157.00,-0.0745,0.2727
249,183.00,-0.3500,0.2790
250,107.00,-0.0411,0.2289
251,138.00,-0.0872,0.2476
252,154.00,-0.2611,0.2608
253,149.00,-0.1298,0.2565
